premium_id,policy_id,customer_id,premium_amount,premium_frequency,age_band,due_date,paid_date,payment_status,payment_method
PRM000001,P00053,C00150,1008.00,quarterly,65-74,2023-07-01,2023-06-30,paid,credit_card
PRM000002,P00171,C00150,272.00,monthly,75+,2023-07-01,2023-06-29,paid,cheque
PRM000003,P00013,C00150,$161.50 CAD,monthly,Under 35,2023-07-02,2023-07-02,paid,cheque
PRM000004,P00015,C00150,272.00,monthly,75+,2023-07-02,2023-07-02,paid,pad
PRM000005,P00111,C00150,140.00,monthly,Under 35,2023-07-02,2023-06-29,paid,cheque
PRM000006,P00037,C00150,45.00,monthly,Under 35,2023-07-03,2023-07-02,paid,pad
PRM000007,P00019,C00150,204.00,monthly,65-74,2023-07-04,2023-07-02,paid,cheque
PRM000008,P00160,C00150,85.00,monthly,Under 35,2023-07-04,2023-07-03,paid,credit_card
PRM000009,P00081,C00150,218.40,monthly,45-54,2023-07-05,,missed,
PRM000010,P00164,C00150,499.20,monthly,75+,2023-07-05,2023-07-04,paid,cheque
PRM000011,P00082,C00143,51.75,monthly,35-44,2023-07-06,2023-07-03,paid,pad
PRM000012,P00135,C00135,448.00,monthly,75+,2023-07-06,2023-07-05,paid,pad
PRM000013,P00065,C00047,192.00,monthly,75+,2023-07-07,2023-07-05,paid,credit_card
PRM000014,P00133,C00097,530.40,monthly,65-74,2023-07-07,2023-07-06,paid,pad
PRM000015,P00062,C00096,255.00,quarterly,Under 35,2023-07-08,,missed,
PRM000016,P00147,C00057,35.00,monthly,Under 35,2023-07-09,,missed,
PRM000017,P00057,C00033,49.00,monthly,45-54,2023-07-10,2023-07-08,paid,credit_card
PRM000018,P00003,C00107,85.00,monthly,Under 35,2023-07-12,2023-07-09,paid,cheque
PRM000019,P00091,C00090,917.70,quarterly,35-44,2023-07-13,2023-07-13,paid,cheque
PRM000020,P00138,C00105,196.00,monthly,45-54,2023-07-13,2023-07-12,paid,cheque
PRM000021,P00058,C00077,69.00,monthly,35-44,2023-07-14,2023-07-19,late,pad
PRM000022,P00118,C00146,530.40,monthly,65-74,2023-07-15,2023-07-15,paid,credit_card
PRM000023,P00137,C00064,397.80,monthly,55-64,2023-07-15,2023-07-13,paid,cheque
PRM000024,P00020,C00131,638.40,monthly,65-74,2023-07-16,2023-07-13,paid,pad
PRM000025,P00008,C00145,105.00,quarterly,Under 35,2023-07-17,2023-07-16,paid,pad
PRM000026,P00141,C00092,-199.50,quarterly,Under 35,2023-07-17,2023-07-16,paid,credit_card
PRM000027,P00142,C00091,-161.50,monthly,Under 35,2023-07-17,2023-07-15,paid,pad
PRM000028,P00103,C00141,-484.50,quarterly,Under 35,2023-07-19,2023-07-18,paid,cheque
PRM000029,P00098,C00089,-144.00,monthly,65-74,2023-07-20,2023-07-17,paid,credit_card
PRM000030,P00076,C00021,228.00,monthly,Under 35,2023-07-21,2023-07-28,paid,credit_card
PRM000031,P00042,C00129,478.80,monthly,55-64,2023-07-22,2023-07-29,paid,pad
PRM000032,P00125,C00027,336.00,monthly,65-74,2023-07-25,2023-08-01,paid,credit_card
PRM000033,P00014,C00040,108.00,monthly,65-74,2023-07-26,2023-08-02,paid,pad
PRM000034,P00069,C00005,384.00,monthly,75+,2023-07-27,2023-08-03,paid,credit_card
PRM000035,P00096,C00008,63.00,monthly,55-64,2023-07-27,,paid,cheque
PRM000036,P00046,C00149,364.00,monthly,Under 35,2023-07-28,,late,pad
PRM000037,P00050,C00034,66.50,monthly,Under 35,2023-07-28,,paid,pad
PRM000038,P00101,C00068,49.00,monthly,45-54,2023-07-28,,paid,credit_card
PRM000039,P00158,C00008,290.70,monthly,55-64,2023-07-28,2023-07-25,paid,pad
PRM000040,P00018,C00149,117.00,monthly,Under 35,2023-07-30,2023-07-29,paid,credit_card
PRM000041,P00171,C00076,272.00,monthly,75+,2023-08-01,2023-07-29,paid,pad
PRM000042,P00013,C00034,161.50,monthly,Under 35,2023-08-02,2023-07-31,paid,cheque
PRM000043,P00015,C00059,272.00,monthly,75+,2023-08-02,2023-07-30,paid,pad
PRM000044,P00111,C00134,140.00,monthly,Under 35,2023-08-02,2023-08-02,paid,cheque
PRM000045,P00037,C00102,45.00,monthly,Under 35,2023-08-03,2023-08-03,Paid ,cheque
PRM000046,P00084,C00019,152.95,monthly,35-44,2023-08-03,2023-08-01,paid,credit_card
PRM000047,P00019,C00014,204.00,monthly,65-74,2023-08-04,2023-08-02,paid,cheque
PRM000048,P00160,C00018,85.00,monthly,Under 35,2023-08-04,2023-08-01,paid,credit_card
PRM000049,P00081,C00066,218.40,monthly,45-54,2023-08-05,2023-08-10,late,cheque
