policy_type,plan_name,age_band,coverage_type,province,policy_count,policy_months,premium_installment_count,premium_due_total,claim_count,decided_claim_count,approved_claim_count,approved_claim_amount,claims_to_premium_performance_ratio,low_exposure_flag
dental,Dental Basic,35-44,couple,BC,2,38,18,2906.04,3,3,2,376.27,0.1295,False
dental,Dental Basic,35-44,couple,MB,2,42,26,3670.92,0,0,0,0,0.0000,False
dental,Dental Basic,35-44,couple,SK,1,19,19,1453.12,1,1,1,171.60,0.1181,False
dental,Dental Basic,35-44,single,BC,1,11,11,442.75,0,0,0,0,0.0000,True
dental,Dental Basic,35-44,single,SK,1,26,9,1086.75,0,0,0,0,0.0000,False
dental,Dental Basic,45-54,family,SK,1,27,27,3439.80,1,1,1,417.80,0.1215,False
dental,Dental Basic,45-54,single,AB,2,38,37,1911.00,1,1,1,208.71,0.1092,False
dental,Dental Basic,45-54,single,BC,1,19,19,931.00,0,0,0,0,0.0000,False
dental,Dental Basic,45-54,single,MB,1,13,11,539.00,2,2,1,817.37,1.5165,False
dental,Dental Basic,45-54,single,SK,1,18,18,882.00,4,4,4,899.88,1.0203,False
dental,Dental Basic,55-64,single,AB,1,16,5,945.00,1,1,1,279.17,0.2954,False
dental,Dental Basic,55-64,single,MB,1,23,24,1512.00,0,0,0,0,0.0000,False
dental,Dental Basic,55-64,single,NT,1,25,25,1575.00,0,0,0,0,0.0000,False
dental,Dental Basic,55-64,single,ON,1,36,35,2205.00,1,1,1,303.87,0.1378,False
dental,Dental Basic,55-64,single,SK,1,10,10,630.00,0,0,0,0,0.0000,True
dental,Dental Basic,65-74,family,SK,1,8,3,1965.60,1,1,1,263.96,0.1343,True
dental,Dental Basic,65-74,single,MB,1,14,14,1176.00,0,0,0,0,0.0000,False
dental,Dental Basic,65-74,single,NS,1,24,24,2016.00,0,0,0,0,0.0000,False
dental,Dental Basic,65-74,single,ON,1,20,19,1596.00,0,0,0,0,0.0000,False
dental,Dental Basic,75+,single,AB,2,48,38,5376.00,5,4,4,802.03,0.1492,False
dental,Dental Basic,75+,single,MB,1,26,26,2912.00,0,0,0,0,0.0000,False
dental,Dental Basic,75+,single,ON,1,15,16,1792.00,0,0,0,0,0.0000,False
dental,Dental Basic,75+,single,SK,2,47,47,5264.00,2,2,2,437.62,0.0831,False
dental,Dental Basic,Under 35,couple,BC,1,6,1,199.50,0,0,0,0,0.0000,True
dental,Dental Basic,Under 35,couple,MB,1,35,33,2194.50,1,1,0,0.00,0.0000,False
dental,Dental Basic,Under 35,couple,ON,1,12,4,798.00,2,2,1,223.55,0.2801,False
dental,Dental Basic,Under 35,family,AB,1,32,32,2912.00,3,2,1,417.65,0.1434,False
