province,product_line,claim_type,quarter_start,calendar_year,calendar_quarter,claim_count,customer_count,policy_count,total_claim_amount,average_claim_amount,decided_claim_count,denied_claim_count,pending_claim_count,denial_rate,total_approved_amount,average_approved_amount
SK,health,health_practitioner,2023-07-01,2023,3,1,1,1,195.95,195.95,1,0,0,0.0000,195.95,195.95
AB,dental,preventive,2023-10-01,2023,4,1,1,1,260.89,260.89,1,0,0,0.0000,208.71,208.71
AB,health,prescription_drugs,2023-10-01,2023,4,1,1,1,38.42,38.42,1,0,0,0.0000,38.42,38.42
MB,dental,major,2023-10-01,2023,4,1,1,1,800.00,800.00,1,0,0,0.0000,817.37,817.37
PE,health,prescription_drugs,2023-10-01,2023,4,1,1,1,44.47,44.47,1,0,0,0.0000,44.47,44.47
SK,dental,major,2023-10-01,2023,4,1,1,1,1600.00,1600.00,1,0,0,0.0000,1617.37,1617.37
SK,health,prescription_drugs,2023-10-01,2023,4,1,1,1,71.56,71.56,1,0,0,0.0000,71.56,71.56
SK,travel,emergency_medical,2023-10-01,2023,4,1,1,1,2362.75,2362.75,1,0,0,0.0000,1907.57,1907.57
AB,health,prescription_drugs,2024-01-01,2024,1,1,1,1,20.00,20.00,1,0,0,0.0000,20.00,20.00
BC,dental,preventive,2024-01-01,2024,1,1,1,1,140.78,140.78,1,0,0,0.0000,140.78,140.78
MB,health,health_practitioner,2024-01-01,2024,1,1,1,1,54.05,54.05,1,0,0,0.0000,43.24,43.24
ON,health,vision,2024-01-01,2024,1,1,1,1,216.10,216.10,1,0,0,0.0000,216.10,216.10
PE,health,medical_equipment,2024-01-01,2024,1,1,1,1,321.73,321.73,1,0,0,0.0000,321.73,321.73
PE,health,vision,2024-01-01,2024,1,1,1,1,283.38,283.38,1,0,0,0.0000,283.38,283.38
SK,health,medical_equipment,2024-01-01,2024,1,2,2,2,156.02,78.01,2,0,0,0.0000,156.02,78.01
SK,health,prescription_drugs,2024-01-01,2024,1,1,1,1,4700.00,4700.00,1,0,0,0.0000,4700.00,4700.00
SK,travel,baggage,2024-01-01,2024,1,1,1,1,467.22,467.22,1,0,0,0.0000,467.22,467.22
SK,travel,emergency_medical,2024-01-01,2024,1,1,1,1,1739.99,1739.99,1,1,0,1.0000,0.00,
SK,travel,trip_cancellation,2024-01-01,2024,1,1,1,1,1933.69,1933.69,1,0,0,0.0000,1546.95,1546.95
AB,health,prescription_drugs,2024-04-01,2024,2,1,1,1,159.56,159.56,1,0,0,0.0000,159.56,159.56
ON,health,prescription_drugs,2024-04-01,2024,2,1,1,1,55.25,55.25,1,0,0,0.0000,44.20,44.20
SK,health,health_practitioner,2024-04-01,2024,2,1,1,1,178.31,178.31,1,0,0,0.0000,178.31,178.31
SK,health,prescription_drugs,2024-04-01,2024,2,1,1,1,80.52,80.52,1,0,0,0.0000,80.52,80.52
AB,health,health_practitioner,2024-07-01,2024,3,1,1,1,120.42,120.42,1,1,0,1.0000,0.00,
AB,travel,emergency_medical,2024-07-01,2024,3,1,1,1,1902.90,1902.90,1,0,0,0.0000,1902.90,1902.90
MB,dental,basic,2024-07-01,2024,3,1,1,1,,,1,1,0,1.0000,0.00,
MB,travel,baggage,2024-07-01,2024,3,1,1,1,464.11,464.11,1,0,0,0.0000,464.11,464.11
NL,dental,preventive,2024-07-01,2024,3,1,1,1,16815.00,16815.00,1,0,0,0.0000,168.15,168.15
ON,travel,baggage,2024-07-01,2024,3,1,1,1,592.07,592.07,1,0,0,0.0000,592.07,592.07
SK,health,vision,2024-07-01,2024,3,1,1,1,257.00,257.00,1,0,0,0.0000,205.60,205.60
SK,travel,baggage,2024-07-01,2024,3,1,1,1,364.90,364.90,1,1,0,1.0000,0.00,
AB,dental,basic,2024-10-01,2024,4,1,1,1,417.65,417.65,1,0,0,0.0000,417.65,417.65
AB,dental,preventive,2024-10-01,2024,4,1,1,1,228.98,228.98,1,0,0,0.0000,228.98,228.98
AB,travel,emergency_medical,2024-10-01,2024,4,3,2,2,34197.60,11399.20,3,0,0,0.0000,33391.43,11130.48
AB,travel,trip_interruption,2024-10-01,2024,4,1,1,1,735.20,735.20,1,0,0,0.0000,735.20,735.20
BC,travel,trip_cancellation,2024-10-01,2024,4,1,1,1,1316.75,1316.75,1,0,0,0.0000,1053.40,1053.40
MB,dental,preventive,2024-10-01,2024,4,1,1,1,940.00,940.00,1,1,0,1.0000,0.00,
MB,health,health_practitioner,2024-10-01,2024,4,1,1,1,190.00,190.00,1,0,0,0.0000,190.00,190.00
MB,health,vision,2024-10-01,2024,4,1,1,1,202.24,202.24,1,0,0,0.0000,202.24,202.24
ON,health,prescription_drugs,2024-10-01,2024,4,1,1,1,26.59,26.59,1,0,0,0.0000,21.27,21.27
SK,dental,preventive,2024-10-01,2024,4,1,1,1,204.73,204.73,1,0,0,0.0000,204.73,204.73
SK,health,health_practitioner,2024-10-01,2024,4,1,1,1,143.43,143.43,1,0,0,0.0000,143.43,143.43
SK,health,prescription_drugs,2024-10-01,2024,4,1,1,1,35.04,35.04,1,0,0,0.0000,28.03,28.03
SK,travel,emergency_medical,2024-10-01,2024,4,1,1,1,942.77,942.77,1,0,0,0.0000,942.77,942.77
SK,travel,trip_cancellation,2024-10-01,2024,4,1,1,1,810.19,810.19,1,0,0,0.0000,648.15,648.15
YT,health,health_practitioner,2024-10-01,2024,4,1,1,1,77.23,77.23,1,1,0,1.0000,0.00,
AB,dental,basic,2025-01-01,2025,1,1,1,1,320.44,320.44,1,1,0,1.0000,0.00,
AB,health,hearing_aids,2025-01-01,2025,1,1,1,1,694.52,694.52,1,0,0,0.0000,694.52,694.52
AB,travel,emergency_medical,2025-01-01,2025,1,1,1,1,55000.00,55000.00,1,0,0,0.0000,55000.00,55000.00
AB,travel,trip_interruption,2025-01-01,2025,1,1,1,1,2352.53,2352.53,1,0,0,0.0000,2352.53,2352.53
MB,health,prescription_drugs,2025-01-01,2025,1,1,1,1,27.93,27.93,1,0,0,0.0000,27.93,27.93
MB,travel,trip_interruption,2025-01-01,2025,1,1,1,1,1313.57,1313.57,1,0,0,0.0000,1313.57,1313.57
ON,dental,preventive,2025-01-01,2025,1,1,1,1,303.87,303.87,1,0,0,0.0000,303.87,303.87
ON,health,health_practitioner,2025-01-01,2025,1,1,1,1,143.73,143.73,1,0,0,0.0000,143.73,143.73
ON,health,prescription_drugs,2025-01-01,2025,1,1,1,1,87.43,87.43,1,0,0,0.0000,87.43,87.43
SK,health,health_practitioner,2025-01-01,2025,1,1,1,1,2820.00,2820.00,1,0,0,0.0000,2820.00,2820.00
SK,health,prescription_drugs,2025-01-01,2025,1,2,2,2,350.51,175.26,2,0,0,0.0000,350.51,175.26
YT,health,vision,2025-01-01,2025,1,1,1,1,152.84,152.84,1,0,0,0.0000,152.84,152.84
AB,dental,basic,2025-04-01,2025,2,1,1,1,361.31,361.31,1,0,0,0.0000,361.31,361.31
AB,dental,preventive,2025-04-01,2025,2,2,1,1,456.31,228.16,2,0,0,0.0000,456.31,228.16
AB,health,health_practitioner,2025-04-01,2025,2,1,1,1,2820.00,2820.00,1,0,0,0.0000,2820.00,2820.00
AB,travel,trip_cancellation,2025-04-01,2025,2,1,1,1,2444.88,2444.88,1,0,0,0.0000,1955.90,1955.90
MB,health,hospital_cash,2025-04-01,2025,2,1,1,1,326.76,326.76,1,0,0,0.0000,326.76,326.76
ON,dental,basic,2025-04-01,2025,2,2,2,2,762.50,381.25,2,1,0,0.5000,331.97,331.97
ON,dental,preventive,2025-04-01,2025,2,2,1,1,334.94,167.47,2,0,0,0.0000,299.10,149.55
ON,health,prescription_drugs,2025-04-01,2025,2,1,1,1,2820.00,2820.00,1,0,0,0.0000,2820.00,2820.00
SK,dental,basic,2025-04-01,2025,2,1,1,1,794.45,794.45,1,0,0,0.0000,635.56,635.56
SK,dental,major,2025-04-01,2025,2,1,1,1,985.95,985.95,1,1,0,1.0000,0.00,
SK,health,health_practitioner,2025-04-01,2025,2,4,3,4,399.14,99.79,4,0,0,0.0000,369.47,92.37
SK,health,prescription_drugs,2025-04-01,2025,2,2,2,2,88.30,44.15,2,1,0,0.5000,67.35,67.35
AB,health,health_practitioner,2025-07-01,2025,3,1,1,1,206.51,206.51,1,0,0,0.0000,206.51,206.51
AB,health,vision,2025-07-01,2025,3,1,1,1,215.09,215.09,1,0,0,0.0000,215.09,215.09
AB,travel,emergency_medical,2025-07-01,2025,3,1,1,1,589.12,589.12,1,0,0,0.0000,589.12,589.12
BC,dental,preventive,2025-07-01,2025,3,1,1,1,177.06,177.06,1,0,0,0.0000,177.06,177.06
MB,dental,preventive,2025-07-01,2025,3,1,1,1,197.69,197.69,1,0,0,0.0000,197.69,197.69
MB,health,prescription_drugs,2025-07-01,2025,3,1,1,1,58.96,58.96,1,0,0,0.0000,47.17,47.17
NL,dental,preventive,2025-07-01,2025,3,1,1,1,221.53,221.53,1,0,0,0.0000,221.53,221.53
ON,dental,basic,2025-07-01,2025,3,1,1,1,167.33,167.33,1,1,0,1.0000,0.00,
ON,dental,preventive,2025-07-01,2025,3,2,2,2,356.60,178.30,2,0,0,0.0000,356.60,178.30
ON,health,medical_equipment,2025-07-01,2025,3,1,1,1,116.36,116.36,1,0,0,0.0000,116.36,116.36
